description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c15_tp05_slip5_s42,0.4594,2.57,0.5253,0.4594,0,306,ada7fd86,2026-03-24T09:26:31
c15_tp05_slip5_s123,0.0454,1.66,0.5035,0.0454,0,314,7e7a48df,2026-03-24T09:31:44
c15_tp05_slip5_s7,-0.4205,-0.35,0.5551,-0.4205,0,316,fe445163,2026-03-24T09:37:00
c15_tp05_slip5_s1,-0.0599,-0.04,0.4699,-0.0599,0,312,c2fd1e28,2026-03-24T10:18:47
c15_tp05_slip5_s2,-0.0465,0.99,0.4949,-0.0465,0,313,9a6593d7,2026-03-24T10:36:07
c15_tp05_slip5_s3,-0.1293,-0.09,0.4891,-0.1293,0,314,8dc27d7f,2026-03-24T10:41:21
c15_tp05_slip5_s5,0.0387,0.92,0.5375,0.0387,0,313,72c56e76,2026-03-24T10:46:35
c15_tp05_slip5_s10,0.0417,1.26,0.5528,0.0417,0,312,45c70c8c,2026-03-24T10:51:47
c15_tp03_slip5_s42,-0.1279,-0.34,0.3877,-0.1279,0,313,37ab64c3,2026-03-24T10:57:00
c15_tp03_slip5_s123,-0.5586,-2.39,0.4589,-0.5586,0,312,2d0b0f04,2026-03-24T11:02:12
c15_tp03_slip5_s7,0.2591,2.27,0.5318,0.2591,0,306,be2a6f0d,2026-03-24T11:07:18
c15_tp03_slip5_s1,-0.3708,-1.39,0.5225,-0.3708,0,313,1215adff,2026-03-24T11:12:31
c15_tp03_slip5_s2,0.041,1.37,0.4373,0.041,0,312,66f99649,2026-03-24T11:17:43
c15_tp03_slip5_s3,-0.3392,-1.28,0.4883,-0.3392,0,312,a1209765,2026-03-24T11:22:56
c15_tp03_slip5_s5,-0.205,-1.16,0.5926,-0.205,0,313,b37f8d09,2026-03-24T11:28:09
c15_tp03_slip5_s10,-0.2987,-0.83,0.4627,-0.2987,0,312,f6124640,2026-03-24T11:33:21
c15_tp08_slip5_s42,0.4248,1.26,0.6167,0.4248,0,306,9592af87,2026-03-24T11:38:27
c15_tp08_slip5_s123,-0.2264,0.13,0.5193,-0.2264,0,314,e06252fd,2026-03-24T11:43:41
c15_tp08_slip5_s7,-0.07,0.21,0.5521,-0.07,0,313,b65d97d6,2026-03-24T11:48:54
c15_tp08_slip5_s1,-0.1159,0.13,0.5,-0.1159,0,313,128bfa69,2026-03-24T11:54:07
c15_tp08_slip5_s2,-0.0874,0.1,0.3971,-0.0874,0,314,63c807f4,2026-03-24T11:59:21
