symbol,split_date,factor,status
AAPL,2020-08-31,4.0,OK
ALGN,2025-07-31,0.0,UNRECOGNIZED_DROP
AMZN,2022-06-06,20.0,OK
ANET,2024-12-04,4.0,OK
ANGI,2023-08-09,0.0,UNRECOGNIZED_DROP
APH,2024-06-12,2.0,OK
AVAXUSD,2022-05-11,0.0,UNRECOGNIZED_DROP
AVGO,2024-07-15,10.0,OK
BILL,2025-02-07,0.0,UNRECOGNIZED_DROP
CMG,2024-06-26,50.0,OK
CNC,2025-07-02,0.0,UNRECOGNIZED_DROP
COO,2024-02-20,4.0,OK
CRDO,2023-02-15,0.0,UNRECOGNIZED_DROP
CRDO,2025-01-27,0.0,UNRECOGNIZED_DROP
CTAS,2024-09-12,4.0,OK
CVNA,2022-11-04,0.0,UNRECOGNIZED_DROP
CVNA,2022-12-07,0.0,UNRECOGNIZED_DROP
DD,2025-11-03,2.39,OK
DECK,2024-09-17,6.0,OK
DG,2024-08-29,0.0,UNRECOGNIZED_DROP
DISH,2023-11-06,0.0,UNRECOGNIZED_DROP
DOC,2024-03-04,0.0,UNRECOGNIZED_DROP
DOCU,2021-12-03,0.0,UNRECOGNIZED_DROP
DXCM,2024-07-26,0.0,UNRECOGNIZED_DROP
ELF,2025-11-06,0.0,UNRECOGNIZED_DROP
ETR,2024-12-13,2.0,OK
EW,2024-07-25,0.0,UNRECOGNIZED_DROP
FAST,2025-05-22,2.0,OK
FETUSD,2022-05-11,0.0,UNRECOGNIZED_DROP
GL,2024-04-11,0.0,UNRECOGNIZED_DROP
GOLD,2022-06-07,2.0,OK
GOOG,2022-07-18,20.0,OK
GOOGL,2022-07-18,20.0,OK
GRAB,2022-03-03,0.0,UNRECOGNIZED_DROP
HIMS,2025-06-23,0.0,UNRECOGNIZED_DROP
IBKR,2025-06-18,4.0,OK
ICPUSD,2025-10-10,0.0,UNRECOGNIZED_DROP
INJUSD,2022-05-11,0.0,UNRECOGNIZED_DROP
IONQ,2025-01-08,0.0,UNRECOGNIZED_DROP
LCID,2021-02-23,0.0,UNRECOGNIZED_DROP
LCID,2021-12-14,0.0,UNRECOGNIZED_DROP
LCID,2021-12-17,0.0,UNRECOGNIZED_DROP
LCID,2021-12-23,0.0,UNRECOGNIZED_DROP
LCID,2021-12-31,0.0,UNRECOGNIZED_DROP
LCID,2022-01-13,0.0,UNRECOGNIZED_DROP
LCID,2022-01-20,0.0,UNRECOGNIZED_DROP
LCID,2022-01-27,0.0,UNRECOGNIZED_DROP
LCID,2022-02-03,0.0,UNRECOGNIZED_DROP
LCID,2022-02-09,0.0,UNRECOGNIZED_DROP
LCID,2022-02-22,0.0,UNRECOGNIZED_DROP
LCID,2022-02-28,0.0,UNRECOGNIZED_DROP
LCID,2022-03-08,0.0,UNRECOGNIZED_DROP
LCID,2022-03-14,0.0,UNRECOGNIZED_DROP
LCID,2022-03-21,0.0,UNRECOGNIZED_DROP
LCID,2022-03-28,0.0,UNRECOGNIZED_DROP
LCID,2022-04-01,0.0,UNRECOGNIZED_DROP
LCID,2022-04-14,0.0,UNRECOGNIZED_DROP
LCID,2022-04-21,0.0,UNRECOGNIZED_DROP
LCID,2022-04-28,0.0,UNRECOGNIZED_DROP
LCID,2022-05-10,0.0,UNRECOGNIZED_DROP
LCID,2022-05-16,0.0,UNRECOGNIZED_DROP
LCID,2022-05-23,0.0,UNRECOGNIZED_DROP
LCID,2022-05-27,0.0,UNRECOGNIZED_DROP
LCID,2022-06-06,0.0,UNRECOGNIZED_DROP
LCID,2022-06-21,0.0,UNRECOGNIZED_DROP
LCID,2022-07-01,0.0,UNRECOGNIZED_DROP
