timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-28T09:34:27Z,tp05_s2000,best.pt,111,-10.52,-14.06,-0.88,-17.14,104,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2000/best.pt
2026-03-28T09:42:08Z,tp05_s2001,best.pt,111,-10.53,-23.42,8.17,-34.36,82,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2001/best.pt
2026-03-28T12:16:57Z,tp05_s2002,best.pt,111,-16.55,-21.79,19.07,-25.29,64,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2002/best.pt
2026-03-28T12:33:35Z,tp05_s2002,val_best.pt,111,-11.36,-20.34,3.44,-25.60,90,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2002/val_best.pt
2026-03-28T12:41:59Z,tp05_s2002,best_neg.pt,111,-11.36,-20.34,3.44,-25.60,90,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2002/best_neg.pt
2026-03-28T12:53:50Z,tp05_s2003,val_best.pt,111,-0.59,-7.82,16.80,-21.02,57,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2003/val_best.pt
2026-03-28T13:07:23Z,tp05_s2003,best_neg.pt,111,-0.59,-7.82,16.80,-21.02,57,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2003/best_neg.pt
2026-03-28T13:24:25Z,tp05_s2004,best.pt,111,-0.09,-27.88,39.86,-33.62,56,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2004/best.pt
2026-03-28T13:37:08Z,tp05_s2004,val_best.pt,111,4.50,-16.51,22.64,-43.00,45,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2004/val_best.pt
2026-03-28T13:58:42Z,tp05_s2004,best_neg.pt,111,4.50,-16.51,22.64,-43.00,45,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2004/best_neg.pt
2026-03-28T14:15:12Z,tp05_s2006,val_best.pt,111,19.76,-3.82,34.36,-11.50,28,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2006/val_best.pt
2026-03-28T14:27:27Z,tp05_s2006,best_neg.pt,111,19.76,-3.82,34.36,-11.50,28,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2006/best_neg.pt
2026-03-28T14:43:29Z,tp05_s2007,val_best.pt,111,-1.55,-7.50,4.74,-11.50,71,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2007/val_best.pt
2026-03-28T14:55:53Z,tp05_s2007,best_neg.pt,111,-1.55,-7.50,4.74,-11.50,71,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2007/best_neg.pt
2026-03-28T15:05:41Z,tp05_s2009,best.pt,111,-7.81,-16.08,0.84,-21.09,97,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2009/best.pt
2026-03-28T15:13:51Z,tp05_s2009,val_best.pt,111,-10.42,-21.46,-3.52,-26.09,111,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2009/val_best.pt
2026-03-28T15:23:27Z,tp05_s2009,best_neg.pt,111,-10.42,-21.46,-3.52,-26.09,111,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2009/best_neg.pt
2026-03-28T15:34:11Z,tp05_s2010,val_best.pt,111,-3.93,-10.16,6.34,-24.23,77,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2010/val_best.pt
2026-03-28T15:44:57Z,tp05_s2010,best_neg.pt,111,-3.93,-10.16,6.34,-24.23,77,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2010/best_neg.pt
2026-03-28T15:57:16Z,tp05_s2011,val_best.pt,111,-7.67,-13.92,0.93,-17.39,97,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2011/val_best.pt
2026-03-28T16:10:35Z,tp05_s2011,best_neg.pt,111,-7.67,-13.92,0.93,-17.39,97,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2011/best_neg.pt
2026-03-28T16:20:09Z,tp05_s2012,val_best.pt,111,1.74,-11.58,18.97,-16.95,50,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2012/val_best.pt
2026-03-28T16:28:58Z,tp05_s2012,best_neg.pt,111,1.74,-11.58,18.97,-16.95,50,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2012/best_neg.pt
2026-03-28T16:40:01Z,tp05_s2013,val_best.pt,111,-1.73,-10.45,20.59,-17.01,69,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2013/val_best.pt
2026-03-28T16:50:46Z,tp05_s2013,best_neg.pt,111,-1.73,-10.45,20.59,-17.01,69,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2013/best_neg.pt
2026-03-28T17:04:41Z,tp05_s2014,val_best.pt,111,-7.10,-30.93,6.74,-40.62,82,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2014/val_best.pt
2026-03-28T17:17:24Z,tp05_s2014,best_neg.pt,111,-7.10,-30.93,6.74,-40.62,82,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2014/best_neg.pt
2026-03-28T17:27:19Z,tp05_s2015,val_best.pt,111,-7.50,-13.16,7.65,-17.52,75,pufferlib_market/checkpoints/stocks12_sweep_gamma995_s2000_2100/tp05_s2015/val_best.pt
